date,amount,category,description
12-01-2024,1000,Expense,Movie
14-01-2024,11000,Income,Part-time Job
22-02-2024,2700,Expense,Dinner
09-03-2024,18000,Income,Contract Work
13-03-2024,1500,Income,Gift
17-03-2024,1200,Expense,Gifts
05-04-2024,2300,Expense,Groceries
20-04-2024,12000,Income,Consulting
21-04-2024,800,Expense,Books
29-04-2024,15000,Income,Freelance Project
03-05-2024,300,Expense,Snacks
10-05-2024,550,Expense,Transport
18-05-2024,9500,Income,Consulting
22-05-2024,9000,Expense,Party
25-05-2024,550,Expense,Books
25-05-2024,13000,Income,Freelance Project
15-06-2024,7000,Expense,Home Repair
24-06-2024,1000,Expense,Entertainment
30-06-2024,400,Expense,Snacks
08-07-2024,8000,Income,Side Business
15-07-2024,5000,Income,Rental
17-07-2024,1200,Expense,Coffee
18-07-2024,1800,Expense,Pet Care
26-07-2024,2500,Expense,Medical
02-08-2024,3000,Income,Dividends
03-08-2024,2700,Expense,Clothes
14-08-2024,2200,Expense,Utilities
21-08-2024,8000,Income,Freelance Project
28-08-2024,950,Expense,Subscription
30-08-2024,3200,Income,Gift
04-09-2024,8500,Income,Bonus
06-09-2024,550,Expense,Apps
12-09-2024,1300,Expense,Gym Membership
19-09-2024,2200,Expense,Membership
23-09-2024,7000,Expense,Car Repair
03-10-2024,9900,Income,Freelance
10-10-2024,450,Expense,Lunch
10-10-2024,750,Expense,Electronics
18-10-2024,5600,Income,Interest
19-10-2024,25000,Income,Salary
25-10-2024,10000,Income,Investment Return
26-10-2024,800,Expense,Books
02-11-2024,600,Expense,Stationery
03-11-2024,5000,Income,Interest
03-11-2024,10000,Income,airdrop
04-11-2024,850,Expense,Streaming Service
06-11-2024,500,Expense,Taxi
08-11-2024,22000,Income,Bonus
12-11-2024,5000,Income,Airbnb Rent
13-12-2024,3000.0,Expense,surgery
